

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is funded by the National Aeronautics and Space Administration.
and operated by the California Institute of Technology.


queryDateTime:2023-07-24T23:33:28PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
144|MACS J0416-2403_z8_000919| 64.04958 | -24.06460 |G|2428319| 8.100000 |PUN |     |  0.000|5|0|10|4|2|0|0
145|FFB2-3043-6011| 64.12679 | -24.10031 |G_Lens|2458298| 8.200000 |PUN |     |  0.000|9|0|10|9|8|0|0
146|MACS J0416-2403:[IZL2015] 5296| 64.13189 | -24.11935 |G|2506265| 8.360000 |UUN |     |  0.000|2|0|9|2|1|0|0
147|[MMD2015] HFF2P-09-2| 64.13217 | -24.11299 |IrS|2638174| 8.800000 |PUN |     |  0.000|5|0|10|5|4|0|0
148|MACS J0416-2403:[IZL2015] 3814| 64.14790 | -24.11173 |G|2503267| 8.350000 |PUN |     |  0.000|4|0|10|4|3|0|0
149|FFB2-3597-6481| 64.14987 | -24.11336 |G_Lens|2551234| 8.510000 |PUN |     |  0.000|8|0|10|8|7|0|0
150|MACS J0416:[MAC2016] PAR001664| 64.15164 | -24.10822 |G|2728112| 9.100000 |PUN |     |  0.000|2|0|10|2|1|0|0
151|FFB2-3642-6304| 64.15175 | -24.10844 |G_Lens|2581213| 8.610000 |PUN |     |  0.000|7|0|10|7|6|0|0
152|MACS J0416:[MAC2016] PAR002052| 64.15567 | -24.10299 |G|2578216| 8.600000 |PUN |     |  0.000|3|0|10|3|2|0|0
153|MACS J0416-2403:[IZL2015] 3687| 64.15613 | -24.11114 |G|2804259| 9.354000 |UUN |     |  0.000|1|0|0|1|1|0|0
154|[MMD2016] M0429-10-1| 67.40746 |  -2.90063 |G|2878008| 9.600000 |PUN |     |  0.000|1|0|0|1|1|0|0
155|[MMD2016] M0647-09-1|101.94900 |  70.26166 |G|2638174| 8.800000 |PUN |     |  0.000|1|0|0|1|1|0|0
156|MACS J0647.7+7015:[CCS2013]JD2|101.97130 |  70.23971 |G|3207780|10.700000 |UUN |     |  0.000|1|0|0|1|2|0|0
157|MACS J0647.7+7015:[CZC2013] 6c|101.98105 |  70.26058 |G_Lens|3087863|10.300000 |PUN |     |  0.000|4|0|0|4|5|0|0
158|MACS J0647.7+7015:[CCS2013]JD1|101.98221 |  70.24327 |G|3357676|11.200000 |PUN |     |  0.000|3|0|0|2|3|0|0
159|MACS J0712:[RER2016] 0414|108.10683 |  59.53194 |G|2458298| 8.200000 |PUN |     |  0.000|1|0|0|1|1|0|0
160|[IKO2018] HFF3P-1788-9254|109.32452 |  37.82374 |G|2404935| 8.022000 |PST |     |  0.000|3|0|0|3|3|0|0
161|[IKO2018] HFF3P-2251-9452|109.34380 |  37.82923 |G|2452303| 8.180000 |PST |     |  0.000|3|0|0|3|3|0|0
162|MACS J0717+37:[YLT2022] 23536 |109.40012 |  37.74680 |G|2533247| 8.450000 |PUN |     |  0.000|1|0|0|1|1|0|0
163|[RMT2022] 0728+0509_0232|111.90930 |   5.13120 |G|2458298| 8.200000 |PUN |     |  0.000|1|0|0|1|1|0|0
164|BoRG 0751+2917_0229|117.71421 |  29.27154 |IrS|2431317| 8.110000 |PUN |26.6J|  0.000|6|0|9|4|2|0|0
165|[MMD2016] A611-10-1|120.25450 |  36.05102 |G|2967946| 9.900000 |PUN |     |  0.000|1|0|0|1|1|0|0
166|[RMT2022] 0830+6555_0840|127.53860 |  65.91850 |G|2431317| 8.110000 |PUN |     |  0.000|1|0|0|1|1|0|0
167|[RMT2022] 0925+1360_0131|141.31360 |  13.98670 |G|2431317| 8.110000 |PUN |     |  0.000|1|0|0|1|1|0|0
168|[RMT2022] 0955+4528_0914|148.82810 |  45.48950 |G|2458298| 8.200000 |PUN |     |  0.000|1|0|0|1|1|0|0
169|2CXO J095533.2+180857|148.88858 |  18.14942 |XrayS|2476286| 8.260000 |SUN |     |  0.000|138|0|26|10|3|0|0
170|[RMT2022] 0956+2848_0986|149.09630 |  28.80950 |G|2431317| 8.110000 |PUN |     |  0.000|1|0|0|1|1|0|0
171|BoRG 0956+2848_0085|149.12270 |  28.79200 |G|2608195| 8.700000 |PUN |     |  0.000|1|0|0|1|1|0|0
172|REBELS 18|149.44958 |   2.34547 |G|2404336| 8.020000 |PUN |     |  0.000|3|0|0|3|3|0|0
173|[SSB2022] UVISTA-Y-007|149.76071 |   2.63503 |G|2539242| 8.470000 |PUN |     |  0.000|1|0|0|1|1|0|0
174|[JDL2018] 85005338|149.96455 |   1.98236 |IrS|2997925|10.000000 |PSE |     |  0.000|1|0|0|1|1|0|0
175|[SLB2017] UVISTA-Y-6|150.05212 |   2.05014 |G|2503267| 8.350000 |PUN |     |  0.000|2|0|0|2|2|0|0
176|[BOL2016] COS910-2|150.06213 |   2.20300 |G|2788070| 9.300000 |PUN |     |  0.000|1|0|0|1|1|0|0
177|[BOL2016] COS910-4|150.06467 |   2.28375 |G|2788070| 9.300000 |PUN |     |  0.000|1|0|0|1|1|0|0
178|S-CANDELS J100019.65+021545.9 |150.08185 |   2.26274 |IrS|2928973| 9.770000 |PUN |     |  0.000|4|0|13|4|3|0|0
